Rosa Silvana ABATE;rosasilvana.abate@posta.senato.it
Laura GARAVINI;laura.garavini@posta.senato.it
Daniela GARNERO SANTANCHE';daniela.santanche@posta.senato.it
Vincenzo GARRUTI;vincenzo.garruti@posta.senato.it
Maurizio GASPARRI;gasparri@posta.senato.it
Felicia GAUDIANO;felicia.gaudiano@posta.senato.it
Francesco GIACOBBE;francesco.giacobbe@posta.senato.it
Niccolo' GHEDINI;niccolo.ghedini@posta.senato.it
Gabriella GIAMMANCO;gabriella.giammanco@posta.senato.it
Nadia GINETTI;nadia.ginetti@posta.senato.it
Francesco Maria GIRO;francescomaria.giro@posta.senato.it
Silvana GIANNUZZI;silvana.giannuzzi@posta.senato.it
Bianca Laura GRANATO;biancalaura.granato@posta.senato.it
Ugo GRASSI;ugo.grassi@posta.senato.it
Pietro GRASSO;segreteria.pietrograsso@posta.senato.it
Leonardo GRIMANI;leonardo.grimani@posta.senato.it
Barbara GUIDOLIN;barbara.guidolin@posta.senato.it
Antonio IANNONE;antonio.iannone@posta.senato.it
Vanna IORI;vanna.iori@posta.senato.it
Tony Chike IWOBI;tony.iwobi@posta.senato.it
Alberto BAGNAI;alberto.bagnai@posta.senato.it
Alberto BALBONI;alberto.balboni@posta.senato.it
Gianni Pietro GIROTTO;giannipietro.girotto@posta.senato.it
Mario Michele GIARRUSSO;mariomichele.giarrusso@posta.senato.it
Claudio BARBARO;claudio.barbaro@posta.senato.it
Antonio BARBONI;antonio.barboni@posta.senato.it
Teresa BELLANOVA;teresa.bellanova@posta.senato.it
Giorgio Maria BERGESIO;giorgio.bergesio@posta.senato.it
Francesco BATTISTONI;francesco.battistoni@posta.senato.it
Alberto BARACHINI;alberto.barachini@posta.senato.it
Roberto BERARDI;roberto.berardi@posta.senato.it
Anna Maria BERNINI;annamaria.bernini@posta.senato.it
Massimo Vittorio BERUTTI;massimo.berutti@posta.senato.it
Paola BINETTI;paola.binetti@posta.senato.it
Caterina BINI;caterina.bini@posta.senato.it
Paola BOLDRINI;paola.boldrini@posta.senato.it
Sandro Mario BIASOTTI;sandro.biasotti@posta.senato.it
Caterina BITI;caterina.biti@posta.senato.it
Stefano BERTACCO;stefano.bertacco@posta.senato.it
Anna Cinzia BONFRISCO;anna.bonfrisco@posta.senato.it
Giulia BONGIORNO;giulia.bongiorno@posta.senato.it
Stefano BORGHESI;stefano.borghesi@posta.senato.it
Vittoria Francesca Maria BOGO DELEDDA;vittoria.bogodeledda@posta.senato.it
Francesco BONIFAZI;francesco.bonifazi@posta.senato.it
Simone BOSSI;simone.bossi@posta.senato.it
Emma BONINO;emma.bonino@posta.senato.it
Laura BOTTICI;laura.bottici@posta.senato.it
Gianclaudio BRESSA;gianclaudio.bressa@posta.senato.it
Elena BOTTO;segreteria.elenabotto@posta.senato.it
Francesco BRUZZONE;francesco.bruzzone@posta.senato.it
Maurizio BUCCARELLA;maurizio.buccarella@posta.senato.it
Umberto BOSSI;umberto.bossi@posta.senato.it
Luca BRIZIARELLI;luca.briziarelli@posta.senato.it
Virginia LA MURA;virginia.lamura@posta.senato.it
Patty L'ABBATE;pasqua.labbate@posta.senato.it
Lucia BORGONZONI;lucia.borgonzoni@posta.senato.it
Gabriele LANZI;gabriele.lanzi@posta.senato.it
Albert LANIECE;albert.laniece@posta.senato.it
Patrizio Giacomo LA PIETRA;patrizio.lapietra@posta.senato.it
Mauro Antonio Donato LAUS;mauro.laus@posta.senato.it
Elio LANNUTTI;elio.lannutti@posta.senato.it
Ettore Antonio LICHERI;ettore.licheri@posta.senato.it
Barbara LEZZI;barbara.lezzi@posta.senato.it
Cinzia LEONE;cinzialeonem5s@posta.senato.it
Ignazio LA RUSSA;ignazio.larussa@posta.senato.it
Alessandrina LONARDO;alessandrina.lonardo@posta.senato.it
Francesco LAFORGIA;francesco.laforgia@posta.senato.it
Pietro LOREFICE;@posta.senato.it
Arnaldo LOMUTI;arnaldo.lomuti@posta.senato.it
Giulia LUPO;giulia.lupo@posta.senato.it
Stefano LUCIDI;stefano.lucidi@posta.senato.it
Michelina LUNESU;michelina.lunesu@posta.senato.it
Alessandra MAIORINO;alessandra.maiorino@posta.senato.it
Gianpietro MAFFONI;gianpietro.maffoni@posta.senato.it
Lara MAGONI;lara.magoni@posta.senato.it
Lucio MALAN;lucio.malan@posta.senato.it
Daniele MANCA;daniele.manca@posta.senato.it
Giuseppe Tommaso Vincenzo MANGIALAVORI;giuseppe.mangialavori@posta.senato.it
Ernesto MAGORNO;ernesto.magorno@posta.senato.it
Massimo MALLEGNI;massimo.mallegni@posta.senato.it
Matteo MANTERO;matteo.mantero@posta.senato.it
Maria Laura MANTOVANI;marialaura.mantovani@posta.senato.it
Andrea MARCUCCI;andrea.marcucci@posta.senato.it
Gianni MARILOTTI;giovanni.marilotti@posta.senato.it
Gaspare Antonio MARINELLO;gaspare.marinello@posta.senato.it
Raffaella Fiormaria MARIN;raffaella.marin@posta.senato.it
Mauro Maria MARINO;mauromaria.marino@posta.senato.it
Carlo MARTELLI;carlo.martelli@posta.senato.it
Marco MARSILIO;@posta.senato.it
Salvatore MARGIOTTA;salvatore.margiotta@posta.senato.it
Susy MATRISCIANO;mariassunta.matrisciano@posta.senato.it
Roberto MARTI;roberto.marti@posta.senato.it
Simona Flavia MALPEZZI;simona.malpezzi@posta.senato.it
Barbara MASINI;barbara.masini@posta.senato.it
Raffaele MAUTONE;raffaele.mautone@posta.senato.it
Assuntela MESSINA;assuntacarmela.messina@posta.senato.it
Cataldo MININNO;cataldo.mininno@posta.senato.it
Anna Carmela MINUTO;annacarmela.minuto@posta.senato.it
Ricardo Antonio MERLO;ricardo.merlo@posta.senato.it
Franco MIRABELLI;franco.mirabelli@posta.senato.it
Antonio MISIANI;antonio.misiani@posta.senato.it
Fiammetta MODENA;fiammetta.modena@posta.senato.it
Alfredo MESSINA;alfredo.messina@posta.senato.it
Francesco MOLLAME;francesco.mollame@posta.senato.it
Michela MONTEVECCHI;michela.montevecchi@posta.senato.it
Giuseppe MOLES;giuseppe.moles@posta.senato.it
Enrico MONTANI;enrico.montani@posta.senato.it
Tommaso NANNICINI;tommaso.nannicini@posta.senato.it
Vilma MORONESE;vilma.moronese@posta.senato.it
Mario MONTI;mario.monti@posta.senato.it
Nicola MORRA;nicola.morra@posta.senato.it
Gaetano NASTRI;gaetanonastri@posta.senato.it
Gisella NATURALE;gisella.naturale@posta.senato.it
Giorgio NAPOLITANO;giorgio.napolitano@posta.senato.it
Riccardo NENCINI;riccardo.nencini@posta.senato.it
Fabrizio ORTIS;fabrizio.ortis@posta.senato.it
Tiziana NISINI;tiziana.nisini@posta.senato.it
Simona Nunzia NOCERINO;simona.nocerino@posta.senato.it
Paola NUGNES;paola.nugnes@posta.senato.it
Franco ORTOLANI;franco.ortolani@posta.senato.it
Gaetano QUAGLIARIELLO;gaetano.quagliariello@posta.senato.it
Andrea OSTELLARI;andrea.ostellari@posta.senato.it
Nazario PAGANO;nazario.pagano@posta.senato.it
Ruggiero QUARTO;ruggiero.quarto@posta.senato.it
Urania Giulia Rosina PAPATHEU;urania.papatheu@posta.senato.it
Kristalia Rachele PAPAEVANGELIU;@posta.senato.it
Marinella PACIFICO;marinella.pacifico@posta.senato.it
Annamaria PARENTE;annamaria.parente@posta.senato.it
Dario PARRINI;parrini.dario@posta.senato.it
Edoardo PATRIARCA;edoardo.patriarca@posta.senato.it
Adriano PAROLI;adriano.paroli@posta.senato.it
Stefano PATUANELLI;stefano.patuanelli@posta.senato.it
Giuliano PAZZAGLINI;giuliano.pazzaglini@posta.senato.it
Emanuele PELLEGRINI;emanuele.pellegrini@posta.senato.it
Marco PELLEGRINI;marco.pellegrini@posta.senato.it
Pasquale PEPE;pasquale.pepe@posta.senato.it
Simona PERGREFFI;simona.pergreffi@posta.senato.it
Marco PEROSINO;marco.perosino@posta.senato.it
Gianluca PERILLI;gianluca.perilli@posta.senato.it
Gianluigi PARAGONE;gianluigi.paragone@posta.senato.it
Daniele PESCO;daniele.pesco@posta.senato.it
Cesare PIANASSO;cesare.pianasso@posta.senato.it
Renzo PIANO;renzo.piano@posta.senato.it
Vito Rosario PETROCELLI;vitorosario.petrocelli@posta.senato.it
Giovanna PETRENGA;@posta.senato.it
Angela Anna Bruna PIARULLI;angela.piarulli@posta.senato.it
Gilberto PICHETTO FRATIN;gilberto.pichettofratin@posta.senato.it
Daisy PIROVANO;daisy.pirovano@posta.senato.it
Simone PILLON;simone.pillon@posta.senato.it
Roberta PINOTTI;roberta.pinotti@posta.senato.it
Gianni PITTELLA;giovanni.pittella@posta.senato.it
Giuseppe PISANI;giuseppe.pisani@posta.senato.it
Pietro PISANI;pietro.pisani@posta.senato.it
Nadia PIZZOL;nadia.pizzol@posta.senato.it
Mario PITTONI;mario.pittoni@posta.senato.it
Stefania PUCCIARELLI;stefania.pucciarelli@posta.senato.it
Elisa PIRRO;elisa.pirro@posta.senato.it
Vincenzo PRESUTTO;vincenzo.presutto@posta.senato.it
Roberto RAMPI;roberto.rampi@posta.senato.it
Sergio PUGLIA;sergio.puglia@posta.senato.it
Isabella RAUTI;isabella.rauti@posta.senato.it
Matteo RENZI;matteo.renzi@posta.senato.it
Alessandra RICCARDI;alessandra.riccardi@posta.senato.it
Erica RIVOLTA;erica.rivolta@posta.senato.it
Maria RIZZOTTI;maria.rizzotti@posta.senato.it
Paolo RIPAMONTI;paolo.ripamonti@posta.senato.it
Tatjana ROJC;tatjana.rojc@posta.senato.it
Sabrina RICCIARDI;sabrina.ricciardi@posta.senato.it
Matteo RICHETTI;matteo.richetti@posta.senato.it
Paolo ROMANI;paolo.romani@posta.senato.it
Mariarosaria ROSSI;mariarosaria.rossi@posta.senato.it
Iunio Valerio ROMANO;iuniovalerio.romano@posta.senato.it
Sergio ROMAGNOLI;sergio.romagnoli@posta.senato.it
Massimiliano ROMEO;massimiliano.romeo@posta.senato.it
Anna ROSSOMANDO;anna.rossomando@posta.senato.it
Carlo RUBBIA;carlo.rubbia@posta.senato.it
Gianfranco RUFA;gianfranco.rufa@posta.senato.it
Massimo RUSPANDINI;massimo.ruspandini@posta.senato.it
Licia RONZULLI;licia.ronzulli@posta.senato.it
Paola TAVERNA;paola.taverna@posta.senato.it
Mino TARICCO;mino.taricco@posta.senato.it
Loredana RUSSO;loredana.russo@posta.senato.it
Elena TESTOR;elena.testor@posta.senato.it
Donatella TESEI;donatella.tesei@posta.senato.it
Roberta TOFFANIN;roberta.toffanin@posta.senato.it
Maria Virginia TIRABOSCHI;mariavirginia.tiraboschi@posta.senato.it
Achille TOTARO;on.achilletotaro@posta.senato.it
Danilo TONINELLI;danilo.toninelli@posta.senato.it
Paolo TOSATO;paolo.tosato@posta.senato.it
Fabrizio TRENTACOSTE;fabrizio.trentacoste@posta.senato.it
Mario TURCO;mario.turco@posta.senato.it
Julia UNTERBERGER;julia.unterberger@posta.senato.it
Adolfo URSO;adolfo.urso@posta.senato.it
Matteo SALVINI;matteo.salvini@posta.senato.it
Francesco URRARO;francesco.urraro@posta.senato.it
Vincenzo SANTANGELO;vincenzo.santangelo@posta.senato.it
Agostino SANTILLO;agostino.santillo@posta.senato.it
Antonio SACCONE;antonio.saccone@posta.senato.it
Maria SAPONARA;maria.saponara@posta.senato.it
Rosellina SBRANA;rosellina.sbrana@posta.senato.it
Daniela SBROLLINI;daniela@posta.senato.it
Paolo SAVIANE;paolo.saviane@posta.senato.it
Renato SCHIFANI;segreteriapresidenteschifani@posta.senato.it
Liliana SEGRE;liliana.segre@posta.senato.it
Giancarlo SERAFINI;giancarlo.serafini@posta.senato.it
Salvatore SCIASCIA;sciascia@posta.senato.it
Marco SICLARI;marco.siclari@posta.senato.it
Armando SIRI;armando.siri@posta.senato.it
Christian SOLINAS;christian.solinas@posta.senato.it
Pierpaolo SILERI;segreteria.sileri@posta.senato.it
Raffaele STANCANELLI;raffaele.stancanelli@posta.senato.it
Laura STABILE;laura.stabile@posta.senato.it
Dieter STEGER;dieter.steger@posta.senato.it
Erika STEFANI;erika.stefani@posta.senato.it
Valeria VALENTE;valeria.valente@posta.senato.it
Sergio VACCARO;sergio.vaccaro@posta.senato.it
Valeria SUDANO;valeria.sudano@posta.senato.it
Francesco VERDUCCI;francesco.verducci@posta.senato.it
Gianpaolo VALLARDI;gianpaolo.vallardi@posta.senato.it
Orietta VANIN;orietta.vanin@posta.senato.it
Vito VATTUONE;vito.vattuone@posta.senato.it
Dario STEFANO;dario.stefano@posta.senato.it
Manuel VESCOVI;manuel.vescovi@posta.senato.it
Gelsomina VONO;gelsomina.vono@posta.senato.it
Luigi ZANDA;luigi.zanda@posta.senato.it
Cristiano ZULIANI;cristiano.zuliani@posta.senato.it
Luigi VITALI;luigi.vitali@posta.senato.it
Francesco ZAFFINI;francesco.zaffini@posta.senato.it
